"1 заступник, тимчасово виконуючий обов ’язки керівника",в.о. Керівника
в. о. начальника,в.о. Начальника
в. о. начальника головного управління держземагентства у вінницькій області,в.о. Начальника
в. о. прокурора луганської області,в.о. Прокурора області
в. о. прокурора міста києва,в.о. Прокурора міста Києва
в. о. прокурора рівненської області,в.о. Прокурора області
в. о. прокурора тернопільської області,в.о. Прокурора області
в. о. прокурора чернігівської області,в.о. Прокурора області
в.о голови районної державної адміністрації,в.о. Голови РДА
в.о директора,в.о. Директора
в.о. генерального директора,в.о. Генерального директора
в.о. генерального директора- художнього керівника,в.о. Генерального директора
в.о. генерального секретаря,в.о. Генерального секретаря
в.о. голови,в.о. Голови
в.о. голови національного банку україни,в.о. Голови НБУ
в.о. голови партії,в.о. Голови
в.о. голови правління,в.о. Голови правління
в.о. голови правління ват,в.о. Голови правління
в.о. голови правління пат,в.о. Голови правління
в.о. голови районної державної адміністрації,в.о. Голови РДА
в.о. директор,в.о. Директора
в.о. директора,в.о. Директора
в.о. керівника,в.о. Керівника
в.о. начальник,в.о. Начальника
в.о. начальника,в.о. Начальника
в.о. начальника головного територіального управління юстиції у вінницькій області,в.о. Начальника
в.о. начальника митниці,в.о. Начальника
в.о. начальника регіонального відділення фонду державного майна україни по вінницькій області,в.о. Начальника
"в.о. начальника, голова комісії з ліквідаці","в.о. Начальника, Голова комісії з ліквідаці"
в.о.генерального директора,в.о. Генерального директора
в.о.голови,в.о. Голови
в.о.голови донецького обласного територіального відділення,в.о. Голови
в.о.голови правління,в.о. Голови правління
в.о.голови правління-генеральний директор,в.о. Голови правління
в.о.директора,в.о. Директора
в.о.начальника,в.о. Начальника
в.о.начальника інспекції,в.о. Начальника
в.о.начальника черкаської митниці дфс,в.о. Начальника
в.о.прокурора київської області,в.о. Прокурора області
виконавчий директор,Виконавчий директор
виконувач обов’язків голови державного агентства водних ресурсів україни,в.о. Голови
виконувач обов’язків голови фонду державного майна україни - перший заступник голови,в.о. Голови
виконувач обов’язків начальника,в.о. Начальника
виконувач обов’язків начальника інспекції,в.о. Начальника
виконувач обов’язків начальника управління,в.о. Начальника
виконує обов’язки генерального директора,в.о. Генерального директора
виконує обов’язки директора,в.о. Директора
виконуюча обовязки голови правління пат,в.о. Голови правління
виконуючий обов’язки генерального директора,в.о. Генерального директора
виконуючий обов’язки голови,в.о. Голови
виконуючий обов’язки голови правління,в.о. Голови правління
виконуючий обов’язки директора,в.о. Директора
виконуючий обов’язки керівника,в.о. Керівника
виконуючий обов'язки генерального директора,в.о. Генерального директора
виконуючий обов'язки голови державної служби україни з надзвичайних ситуацій,в.о. Голови
"виконуючий обовязки голови, перший заступник голови",в.о. Голови
виконуючий обов'язки директора,в.о. Директора
виконуючий обов'язки начальника,в.о. Начальника
військовий комісар,Військовий комісар
генеральний директор,Генеральний директор
генеральний директор - головний лікар,Генеральний директор
генеральний директор-художній керівник,Генеральний директор
генеральний продюсер-директор,Директор
генеральний прокурор,Генеральний прокурор України
генеральний прокурор україни,Генеральний прокурор України
голова,Голова
голова  апеляційного суду закарпатської області,Голова суду
голова апеляційного суду  полтавської області,Голова суду
голова апеляційного суду донецької області,Голова суду
голова апеляційного суду житомирської області,Голова суду
голова апеляційного суду миколаївської області,Голова суду
голова апеляційного суду сумської області,Голова суду
голова апеляційного суду хмельницької області,Голова суду
голова апеляційного суду чернівецької області,Голова суду
голова верховного суду україни,Голова суду
голова виконавчого органу (правління),Голова правління
голова вінницького обласного територіального відділення антимонопольного комітету україни,Голова
голова вінницької обласної державної адміністрації,Голова ОДА
голова державного агентства,Голова
голова державного агентства автомобільних доріг україни,Голова
голова державного агентства з інвестицій та управління національними проектами україни,Голова
голова державного агентства земельних ресурсів україни,Голова
голова державного агентства резерву україни,Голова
голова державного агентства рибного господарства україни,Голова
голова державного космічного агентства україни,Голова
голова державного фонду сприяння місцевому самоврядуванню в україні,Голова
голова державної авіаційної служби україни,Голова
голова державної архітектурно-будівельної інспекції україни,Голова
голова державної виконавчої служби україни,Голова
голова державної екологічної інспекції україни - головний державний інспектор україни з охорони навколишнього природного середовища,Голова
голова державної екологічної інспекції україни головний державний інспектор україни з охорони навколишнього природного середовища,Голова
голова державної інспекції сільського господарства україни,Голова
голова державної інспекції україни з безпеки на морському та річковому транспорті,Голова
голова державної інспекції ядерного регулювання україни,Голова
голова державної казначейської служби україни,Голова
голова державної міграційної служби україни,Голова
голова державної податкової служби україни,Голова
голова державної прикордонної служби україни,Голова
голова державної пробірної служби україни,Голова
голова державної реєстраційної служби україни,Голова
голова державної служби експортного контролю україни,Голова
голова державної служби зайнятості україни,Голова
голова державної служби інтелектуальної власності україни,Голова
голова державної служби спеціального зв'язку та захисту інформації,Голова
голова державної служби україни з лікарських засобів,Голова
голова державної служби україни з питань захисту персональних даних,Голова
голова державої служби з питань інвалідів та ветеранів україни,Голова
голова держспецзв'язку,Голова
голова дніпропетровського апеляційного адміністративного суду,Голова суду
голова дніпропетровської обласної державної адміністрації,Голова ОДА
голова донецької обласної державної адміністрації,Голова ОДА
голова запорізької обласної державної адміністрації,Голова ОДА
голова івано-франківської обласної державної адміністрації,Голова ОДА
голова комісії з ліквідації ,голова ліквідаційної комісії
голова комісії з припинення підприємства,голова ліквідаційної комісії
"голова комісії з припинення
 підприємства",голова ліквідаційної комісії
голова комісії з реорганізації територіальної державної інспекції з питань праці у донецькій області,голова ліквідаційної комісії
голова конституційного суду україни,Голова суду
голова кормісії з реорганізації,голова ліквідаційної комісії
голова ліквідаційної комісії,голова ліквідаційної комісії
голова ліквідаційної комісії заступник начальника,голова ліквідаційної комісії
голова луганської обласної державної адміністрації,Голова ОДА
голова львівської обласної державної адміністрації,Голова ОДА
голова наглядової ради,голова наглядової ради
голова національного агентства з питань підготовки та проведення в україні фінальної частини чемпіонату європи 2012 року з футболу та реалізації інфраструктурних проектів,Голова
голова національного агентства україни з питань державної служби,Голова
голова національного банку україни,Голова НБУ
голова національної комісії з питань захисту суспільної моралі,Голова комісії
голова національної поліції,Голова
голова нбу,Голова НБУ
голова нкрекп,Голова комісії
голова обласної державної адміністрації,Голова ОДА
голова одеського апеляційного адміністративного суду,Голова суду
голова одеської обласної державної адміністрації,Голова ОДА
голова партії,Голова
голова політичної ради,Голова політичної ради партії
голова політичної ради партії,Голова політичної ради партії
голова полтавської обласної державної адміністрації,Голова ОДА
голова правління,Голова правління
голова правління - директор інституту,Голова правління
голова правління -генеральний директор,Голова правління
голова правління пат,Голова правління
голова правління пенсійного фонду україни,Голова правління
голова правління-дирекгор,Голова правління
голова правляння,Голова правління
голова президії партії,Голова президії партії
голова ради партії,Голова ради партії
голова районної державної адміністрації,Голова РДА
голова рахункової палати,Голова
голова ревізійонї комісії,Голова ревізійонї комісії
голова служби безпеки україни,Голова СБУ
голова служби зовнішньої розвідки україни,голова Служби зовнішньої розвідки України
голова суду,Голова суду
голова сумської обласної державної адміністрації,Голова ОДА
голова тернопільської обласної державної адміністрації,Голова ОДА
голова фонду державного майна україни,Голова ФДМУ
голова харківської обласної державної адміністрації,Голова ОДА
голова харківської облдержадміністрації,Голова ОДА
голова центральної виборчої комісії,голова ЦВК
голова чернівецької обласної державної адміністрації,Голова ОДА
голова чернігівської обласної державної адміністрації,Голова ОДА
директор,Директор
директор державної бюджетної установи «вінницький регіональний центр з інвестицій та розвитку»,Директор
директор національного інституту стратегічних досліджень,Директор
директор чернігівського обласного центру зайнятості,Директор
директор-головний конструктор,Директор
директор-художній керівник,Директор
завідувач сектора (сектор - в стадії ліквідації),Керівник
завідувач сектору,Керівник
завідуючий,Керівник
керівник,Керівник
керівник - голова ліквідаційної комісії,голова ліквідаційної комісії
керівник головного управління статистики в області,Керівник
керівник державна інспекція з енергетичного нагляду за режимом споживання електричної і теплової енергії в тернопільській області,Керівник
керуючий санацією,Керуючий санацією
керуючий трестом,Керівник
київський міський голова,Київський міський Голова
лідер партії,Лідер партії
началник,Начальник
начальник,Начальник
начальник,Начальник
начальник - головний державний інспектор,Начальник
начальник - головний державний інспектор з охорони навколишнього середовища донецької області,Начальник
начальник - головний державний санітарний лікар,Начальник
начальник - головний державний санітарний лікар донецької області,Начальник
начальник - головний державний фітосанітарний інспектор донецької області,Начальник
начальник (в.о. начальника),в.о. Начальника
начальник (т.в.о. начальника),т.в.о. Начальника
начальник басейнового управління водних ресурсів річки південний буг,Начальник
начальник вінницького обласного управління лісового та мисливського господарства,Начальник
начальник головного територіального управління юстиції у запорізькій області,Начальник
начальник головного управління ветеринарної медицини в області,Начальник
начальник головного управління ветеринарної медицини у вінницькій області,Начальник
начальник головного управління державної фіскальної служби у вінницькій області,Начальник
начальник головного управління державної фітосанітарної інспекції чернігівської області,Начальник
"начальник головного управління держсанепідслужби у вінницькій області, головний державний санітарний лікар вінницької області",Начальник
начальник головного управління дснс україни у вінницькій області,Начальник
начальник головного управління пенсійного фонду у країни у вінницькій області,Начальник
начальник головного управління статистики у вінницькій області,Начальник
начальник головного управління юстиції в області,Начальник
начальник державної фінансової інспекції в області,Начальник
начальник державної фінансової інспекції у вінницькій області,Начальник
начальник державноъ інспекці з енергетичного нагляду за режимами споживання електричної та теплової енергії в кіровоградській області,Начальник
начальник деснянського басейнового управління водних ресурсів,Начальник
"начальник ізмаїльської об'єднанлї державної фінансової інспекції одеської області, член ревізійної комісії",Начальник
начальник інспекції -головний державний інспектор з охорони навколишнього природного середовища азовського моря держекоінспекції україни,Начальник
начальник інспекції -головний державний фітосанітарний інспектор вінницької області,Начальник
начальник інспекції з питань захисту прав споживачів в області,Начальник
начальник інспекції з питань захисту прав споживачів у вінницькій області,Начальник
начальник інспекції сільського господарства у вінницькій області,Начальник
"начальник інспекції, в.о.",в.о. Начальника
начальник інспекція держенергонагляду в луганській області,Начальник
начальник обласного управління,Начальник
"начальник регіонального відділення фдму по одеській області, член наглядової ради",Начальник
начальник регіонального відділення фонду державного майна україни по вінницькій області,Начальник
"начальник регіонального відділення, в.о.",Начальник
начальник служби автомобільних доріг в області,Начальник
начальник служби автомобільних доріг у вінницькій області,Начальник
начальник територіального управління,Начальник
начальник територіального управління держгірпромнагляду у вінницькій області,Начальник
начальник територіальної державної інспекції з питань праці у чернігівській області,Начальник
начальник умвс в області,Начальник
начальник управління виконавчої дирекції фонду соцстрахування від нещасних випадків на виробництві та проф. захворювань україни у вінницькій області,Начальник
начальник управління державної міграційної служби україни в області,Начальник
начальник управління державної міграційної служби україни у вінницькій області,Начальник
начальник управління державної служби головдержслужби україни у вінницькій області,Начальник
начальник управління державної служби головного управління державної служби україни в автономній республіці крим та м. севастополі,Начальник
начальник управління мвс україни у вінницькій області,Начальник
начальник управління укртрансінспекції в області,Начальник
начальник управління укртрансінспекції у вінницькій області,Начальник
начальник управління управління державної пенітенціарної служби україни у вінницькій області,Начальник
начальник центру,Начальник
"начальник,  головний державний санітарний лікар волинської області",Начальник
"начальник, головний державний інспектор",Начальник
"начальник, головний державний санітарний лікар рівненської області",Начальник
"начальник, головний державний фітосанітарний інспектор львівської області",Начальник
"начальник, заступник г оловного державного інспектора з ядерної та радіаційної безпеки україни",Начальник
"начальник, заступник головного державного інспектора з ядерної та радіаційної безпеки україни",Начальник
начальника,Начальник
"начальнік управління, в.о.",в.о. Начальника
обласний військовий комісар,Військовий комісар
президени національної академії державного управління при президентові україни,Президент
"президент, член правління",Президент 
прокурор автономної республіки крим,прокурор АР Крим
прокурор ар крим,прокурор АР Крим
прокурор вінницької області,Прокурор області
прокурор волинської області,Прокурор області
прокурор дніпропетровської області,Прокурор області
прокурор донецької області,Прокурор області
прокурор житомирської області,Прокурор області
прокурор закарпатської області,Прокурор області
прокурор запорізької області,Прокурор області
прокурор івано-франківської області,Прокурор області
прокурор київської області,Прокурор області
прокурор кіровоградської області,Прокурор області
прокурор луганської області,Прокурор області
прокурор львівської області,Прокурор області
прокурор м. києва,прокурор міста Києва
прокурор миколаївської області,Прокурор області
прокурор одеської області,Прокурор області
прокурор полтавської області,Прокурор області
прокурор рівненської області,Прокурор області
прокурор сумської області,Прокурор області
прокурор тернопільської області,Прокурор області
прокурор харківської області,Прокурор області
прокурор херсонської області,Прокурор області
прокурор хмельницької області,Прокурор області
прокурор черкаської області,Прокурор області
прокурор чернівецької області,Прокурор області
прокурор чернігівської області,Прокурор області
співголова,Співголова
т. в. о. начальника управління,т.в.о. Начальника
т. в.о. начальника,т.в.о. Начальника
т.в.о генерального директора,т.в.о. Генерального директора
т.в.о директора,т.в.о. Директора
т.в.о начальника,т.в.о. Начальника
т.в.о. генерального директора,т.в.о. Генерального директора
т.в.о. голова обласної державної адміністрації,т.в.о. Голови ОДА
т.в.о. голови,т.в.о. Голови
т.в.о. голови обласної державної адміністрації,т.в.о. Голови ОДА
т.в.о. голови правління,т.в.о. Голови правління
т.в.о. голови районної державної адміністрації,т.в.о. Голови РДА
т.в.о. директора,т.в.о. Директора
т.в.о. керівника,т.в.о. Керівника
т.в.о. начальника,т.в.о. Начальника
т.в.о.голови,т.в.о. Голови
т.в.о.начальника,т.в.о. Начальника
"т.в.п. директора, заступник директора",т.в.о. Директора
тимчасово виконуючий обов ’язки керівника,т.в.о. Керівника
тимчасово виконуючий обов’язки голови державної служби геології та надр україни,т.в.о. Голови
тимчасово виконуючий обов’язки голови державної служби україни з контролю за наркотиками,т.в.о. Голови
тимчасово виконуючий обов'язки  керівника,т.в.о. Керівника
тимчасово виконуючий обов'язки начальника головного управління,т.в.о. Начальника
